Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
ACADIENSIS,0044-5851,52.87,1922.85
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,0353-5150,35.47,1024.4
ACTA ARCHAEOLOGICA,0065-101X,0,500
ACTA BOREALIA,0800-3831,70.76,3447.81
ACTA CLASSICA,0065-1141,29.29,825.02
ACTA HISTORICA TALLINNENSIA,1406-2925,28.22,796.16
ACTA KOREANA,1520-7412,10.89,527.38
ACTA LITERARIA,0717-6848,10.5,525
ACTA MUSICOLOGICA,0001-6241,13.68,548.42
ACTA ORIENTALIA,1588-2667,44.91,1445.92
ACTA PHILOSOPHICA,1121-2179,1.79,500.3
ACTA POLONIAE HISTORICA,0001-6829,1.54,500.21
ACTA THEOLOGICA,1015-8758,7.7,511.51
ADALYA,1301-2746,13.71,548.68
ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,1755-0637,34.85,1001.73
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,0001-9593,4.99,503.89
AFRICAN AMERICAN REVIEW,1062-4783,5.71,505.46
AFRICAN ARCHAEOLOGICAL REVIEW,0263-0338,73.37,3727.72
AFRICAN ARTS,0001-9933,18.52,603.32
AFRICAN ECONOMIC HISTORY,0145-2258,0,500
AFTERALL,1465-4253,0,500
AGENDA,0002-0796,1.62,500.23
AGORA-ESTUDOS CLASSICOS EM DEBATE,0874-5498,11.58,531.91
AGRICULTURAL HISTORY REVIEW,0002-1490,21.76,654.67
AJS REVIEW-THE JOURNAL OF THE ASSOCIATION FOR JEWISH STUDIES,0364-0094,22.35,665.37
AKKADICA,1378-5087,19.7,620.62
AKZENTE-ZEITSCHRIFT FUR LITERATUR,0002-3957,2.65,500.8
AL-MASAQ-ISLAM AND THE MEDIEVAL MEDITERRANEAN,0950-3110,29.68,836
AL-QANTARA,0211-3589,31.74,897.29
AL-SHAJARAH,1394-6870,0.62,500.02
ALEA-ESTUDOS NEOLATINOS,1517-106X,13.32,545.3
ALEPH-HISTORICAL STUDIES IN SCIENCE & JUDAISM,1565-1525,38.07,1125.91
ALLGEMEINE ZEITSCHRIFT FUR PHILOSOPHIE,0340-7969,8.95,516.76
ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA,0718-2201,2.59,500.75
AMERASIA JOURNAL,0044-7471,5.43,504.82
AMERICAN ART,1073-9300,15.52,566.46
AMERICAN BOOK REVIEW,0149-9408,2.53,500.71
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY,1051-3558,7.18,509.68
AMERICAN HISTORY,1076-8866,2.13,500.46
AMERICAN IMAGO,0065-860X,17.76,593.04
AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL,0161-6463,21.33,647.07
AMERICAN JEWISH HISTORY,0164-0178,0,500
AMERICAN JOURNAL OF ARCHAEOLOGY,0002-9114,27.07,766.91
AMERICAN JOURNAL OF PHILOLOGY,0002-9475,76.49,4082.05
AMERICAN LITERARY HISTORY,0896-7148,100,7500
AMERICAN LITERARY REALISM,0002-9823,23.45,686.42
AMERICAN LITERATURE,0002-9831,26.51,753.4
AMERICAN MUSIC,0734-4392,6.99,509.05
AMERICAN NINETEENTH CENTURY HISTORY,1466-4658,9.16,517.77
AMERICAN PHILOSOPHICAL QUARTERLY,0003-0481,59.94,2447.3
AMERICAN POETRY REVIEW,0360-3709,1.75,500.28
AMERICAN QUARTERLY,0003-0678,34.05,973.71
AMERICAN SCHOLAR,0003-0937,1.71,500.27
AMERICAN STUDIES IN SCANDINAVIA,0044-8060,1.34,500.15
AMERICAS,0003-1615,9.01,517.08
ANALES CERVANTINOS,0569-9878,62.93,2698.86
ANALES DE LA LITERATURA ESPANOLA CONTEMPORANEA,0272-1635,39.29,1177.43
ANALES DE LITERATURA CHILENA,0717-6058,0,500
ANALES DEL SEMINARIO DE HISTORIA DE LA FILOSOFIA,0211-2337,0.69,500.03
ANALYSIS,0003-2638,63.6,2758.22
ANATOLIAN STUDIES,0066-1546,100,7500
ANCIENT MESOAMERICA,0956-5361,39.25,1175.68
ANGELAKI-JOURNAL OF THE THEORETICAL HUMANITIES,0969-725X,25.02,719.18
ANGLIA-ZEITSCHRIFT FUR ENGLISCHE PHILOLOGIE,0340-5222,7.33,510.19
ANIMATION-AN INTERDISCIPLINARY JOURNAL,1746-8477,34.68,995.62
ANNALES DE BRETAGNE ET DES PAYS DE L OUEST,0399-0826,5.38,504.7
ANNALES HISTORIQUES DE LA REVOLUTION FRANCAISE,0003-4436,6.5,507.54
ANNALES-ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE-SERIES HISTORIA ET SOCIOLOGIA,1408-5348,21.99,658.75
ANNUAL OF THE BRITISH SCHOOL AT ATHENS,0068-2454,13.32,545.31
ANNUAL REVIEW OF LINGUISTICS,2333-9691,0,500
ANQ-A QUARTERLY JOURNAL OF SHORT ARTICLES NOTES AND REVIEWS,0895-769X,7.8,511.88
ANTIGONISH REVIEW,0003-5661,40.24,1219.17
ANTIKE UND ABENDLAND,0003-5696,43.41,1369.23
ANTIOCH REVIEW,0003-5769,4.48,502.97
ANUARIO CALDERONIANO,1888-8046,36.98,1082.23
ANUARIO DE ESTUDIOS AMERICANOS,0210-5810,11.32,530.19
ANUARIO DE ESTUDIOS MEDIEVALES,0066-5061,7.26,509.95
ANUARIO DE HISTORIA DE LA IGLESIA,1133-0104,3.4,501.5
ANUARIO FILOSOFICO,0066-5215,1.78,500.29
APERTURE,0003-6420,0.58,500.02
APOLLO-THE INTERNATIONAL ART MAGAZINE,0003-6536,2.12,500.46
APPALACHIAN JOURNAL,0090-3779,18.46,602.53
ARABIAN ARCHAEOLOGY AND EPIGRAPHY,0905-7196,28.5,803.56
ARABIC SCIENCES AND PHILOSOPHY,0957-4239,37.66,1109.31
ARABICA,0570-5398,26.96,764.14
ARBOR-CIENCIA PENSAMIENTO Y CULTURA,0210-1963,7.44,510.58
ARCADIA,0003-7982,12.26,536.81
ARCHAEOFAUNA,1132-6891,31.71,896.37
ARCHAEOLOGICAL DIALOGUES,1380-2038,19.6,619.12
ARCHAEOLOGIES-JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS,1555-8622,25.23,723.85
ARCHAEOLOGY,0003-8113,1.38,500.16
ARCHAOLOGISCHES KORRESPONDENZBLATT,0342-734X,12.76,540.72
ARCHEOLOGICKE ROZHLEDY,0323-1267,16.36,575.74
ARCHEOSCIENCES-REVUE D ARCHEOMETRIE,1960-1360,0,500
ARCHIPEL-ETUDES INTERDISCIPLINAIRES SUR LE MONDE INSULINDIEN,0044-8613,39.27,1176.53
ARCHITECT,1935-7001,1.78,500.3
ARCHITECTURA-ZEITSCHRIFT FUR GESCHICHTE DER BAUKUNST,0044-863X,9.51,519.54
ARCHITECTURAL DESIGN,0003-8504,24.39,705.74
ARCHITECTURAL HISTORY,0066-622X,41.71,1286.29
ARCHITECTURAL RECORD,0003-858X,0,500
ARCHITECTURAL REVIEW,0003-861X,0.55,500.02
ARCHITECTURAL SCIENCE REVIEW,0003-8628,100,7500
ARCHITECTURAL THEORY REVIEW,1326-4826,21.3,646.62
ARCHITEKTURA & URBANIZMUS,0044-8680,13.52,547.06
ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN,0003-8970,1.25,500.12
ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,0003-9101,27.06,766.72
ARCHIV FUR MUSIKWISSENSCHAFT,0003-9292,1.77,500.29
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY,0003-9381,36.77,1073.86
ARCHIV FUR SOZIALGESCHICHTE,0066-6505,0,500
ARCHIV ORIENTALNI,0044-8699,11.37,530.55
ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATION,2325-7962,0,500
ARCHIVES OF AMERICAN ART JOURNAL,0003-9853,2.61,500.77
ARCHIVIO STORICO ITALIANO,0391-7770,2.55,500.72
ARCHIVO ESPANOL DE ARQUEOLOGIA,0066-6742,2.36,500.6
ARCHIVO ESPANOL DE ARTE,0004-0428,4.44,502.91
ARETHUSA,0004-0975,86.57,5380.61
ARHEOLOSKI VESTNIK,0570-8966,11.4,530.71
ARIEL-A REVIEW OF INTERNATIONAL ENGLISH LITERATURE,0004-1327,18.66,605.32
ARION-A JOURNAL OF HUMANITIES AND THE CLASSICS,0095-5809,10.54,525.26
ARKANSAS HISTORICAL QUARTERLY,0004-1823,6.31,507.01
ARMS & ARMOUR,1741-6124,15.07,561.69
ARQ,0717-6996,5.82,505.73
ARQ-ARCHITECTURAL RESEARCH QUARTERLY,1359-1355,12.88,541.7
ARQUITETURA REVISTA,1808-5741,13.39,545.9
ARS ORIENTALIS,0571-1371,0,500
ART BULLETIN,0004-3079,46.56,1535.29
ART HISTORY,0141-6790,32.87,933.52
ART IN AMERICA,0004-3214,1.33,500.14
ART JOURNAL,0004-3249,14.29,554.03
ARTE INDIVIDUO Y SOCIEDAD,1988-2408,17.16,585.34
ARTFORUM INTERNATIONAL,1086-7058,2.09,500.44
ARTHURIANA,1078-6279,7.81,511.94
ARTI MUSICES,0587-5455,1.08,500.08
ARTIBUS ASIAE,0004-3648,30.27,852.85
ARTIBUS ET HISTORIAE,0391-9064,10,522.14
ARTMARGINS,2162-2574,5.26,504.45
ARTNEWS,0004-3273,1.39,500.16
ARTS OF ASIA,0004-4083,5.13,504.16
ASCLEPIO-REVISTA DE HISTORIA DE LA MEDICINA Y DE LA CIENCIA,0210-4466,6.45,507.39
ASIAN ETHNOLOGY,1882-6865,44.12,1405.18
ASIAN MUSIC,0044-9202,82.38,4811.3
ASIAN PHILOSOPHY,0955-2367,99.11,7345.35
ASIAN THEATRE JOURNAL,0742-5457,48.35,1637.71
ATALANTE-REVISTA DE ESTUDIOS CINEMATOGRAFICOS,1885-3730,0.33,500
ATENE E ROMA-NUOVA SERIE SECONDA,0004-6493,1.8,500.3
ATENEA,0718-0462,2.28,500.55
ATHENAEUM-STUDI PERIODICI DI LETTERATURA E STORIA DELL ANTICHITA,0004-6574,10.79,526.76
AULA ORIENTALIS,0212-5730,38.59,1147.72
AUMLA-JOURNAL OF THE AUSTRALASIAN UNIVERSITIES LANGUAGE AND LITERATURE ASSOCIATION,0001-2793,3.03,501.12
AUSTRALASIAN DRAMA STUDIES,0810-4123,0,500
AUSTRALASIAN JOURNAL OF PHILOSOPHY,0004-8402,65.68,2946.88
AUSTRALIAN HISTORICAL STUDIES,1031-461X,22.51,668.25
AUSTRALIAN JOURNAL OF FRENCH STUDIES,0004-9468,100,7500
AUSTRALIAN LITERARY STUDIES,0004-9697,0,500
AUSTRIAN STUDIES,1350-7532,1.81,500.31
AUT AUT,0005-0601,1.14,500.1
AVANT SCENE OPERA,0764-2873,0,500
AXIOMATHES,1122-1151,47.1,1565.58
AZANIA-ARCHAEOLOGICAL RESEARCH IN AFRICA,0067-270X,31.21,880.89
BACH,0005-3600,5.98,506.13
BALLET REVIEW,0522-0653,3.54,501.65
BEITRAGE ZUR GESCHICHTE DER DEUTSCHEN SPRACHE UND LITERATUR,0005-8076,16.1,572.77
BELLETEN,0041-4255,2.97,501.06
BEN JONSON JOURNAL,1079-3453,18.88,608.45
BIBLICA,0006-0887,15.81,569.56
BIBLIOTHEQUE D HUMANISME ET RENAISSANCE,0006-1999,6.55,507.67
BIBLIOTHEQUE DE L ECOLE DES CHARTES,0373-6237,0,500
BIBLISCHE ZEITSCHRIFT,0006-2014,3.38,501.47
BIOGRAPHY-AN INTERDISCIPLINARY QUARTERLY,0162-4962,27.1,767.65
BIOSCOPE-SOUTH ASIAN SCREEN STUDIES,0974-9276,61.35,2563.94
BLACK MUSIC RESEARCH JOURNAL,0276-3605,24.87,715.95
BOLETIN DE LA REAL ACADEMIA ESPANOLA,0210-4822,40.91,1249.41
BOLETIN DEL MUSEO CHILENO DE ARTE PRECOLOMBINO,0716-1530,17.4,588.37
BOOK COLLECTOR,0006-7237,0.15,500
BRITANNIA,0068-113X,20.8,638.14
BRITISH JOURNAL FOR THE HISTORY OF PHILOSOPHY,0960-8788,15,560.96
BRITISH JOURNAL OF AESTHETICS,0007-0904,81.59,4708.64
BRITISH JOURNAL OF CANADIAN STUDIES,0269-9222,5.66,505.33
BRONTE STUDIES,1474-8932,17.84,594.15
BRUNIANA & CAMPANELLIANA,1125-3819,10.19,523.21
BUDDHIST STUDIES REVIEW,0265-2897,6.39,507.21
BUILDINGS & LANDSCAPES-JOURNAL OF THE VERNACULAR ARCHITECTURE FORUM,1936-0886,8.77,515.95
BULGARIAN HISTORICAL REVIEW-REVUE BULGARE D HISTOIRE,0204-8906,0.78,500.04
BULLETIN DE CORRESPONDANCE HELLENIQUE,0007-4217,0,500
BULLETIN HISPANIQUE,0007-4640,64.01,2794.41
BULLETIN MONUMENTAL,0007-473X,4.69,503.33
BULLETIN OF HISPANIC STUDIES,1475-3839,44.45,1422.16
BULLETIN OF SPANISH STUDIES,1475-3820,25.25,724.37
BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS,0003-1186,3.27,501.36
BULLETIN OF THE COMEDIANTES,0007-5108,0,500
BULLETIN OF THE COUNCIL FOR RESEARCH IN MUSIC EDUCATION,0010-9894,14.32,554.3
BULLETIN OF THE INSTITUTE OF HISTORY AND PHILOLOGY ACADEMIA SINICA,1012-4195,5.72,505.48
BULLETIN OF THE JOHN RYLANDS LIBRARY,2054-9318,0,500
BULLETIN OF THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES-UNIVERSITY OF LONDON,0041-977X,27.39,774.8
BURLINGTON MAGAZINE,0007-6287,10.28,523.73
BYU STUDIES QUARTERLY,0007-0106,1.33,500.14
BYZANTINE AND MODERN GREEK STUDIES,0307-0131,19.32,614.89
BYZANTINISCHE ZEITSCHRIFT,0007-7704,19.23,613.47
CAHIERS DE CIVILISATION MEDIEVALE,0007-9731,6.97,508.98
CAHIERS DU MONDE RUSSE,1252-6576,4.28,502.66
CAHIERS ELISABETHAINS,0184-7678,2.34,500.58
CAHIERS VICTORIENS & EDOUARDIENS,0220-5610,0,500
CALIFORNIA HISTORY,0162-2897,3.45,501.54
CALLALOO,0161-2492,8.32,514
CAMBRIAN MEDIEVAL CELTIC STUDIES,1353-0089,8.45,514.53
CAMBRIDGE ARCHAEOLOGICAL JOURNAL,0959-7743,42.36,1317.28
CAMBRIDGE CLASSICAL JOURNAL,1750-2705,28.61,806.57
CAMBRIDGE OPERA JOURNAL,0954-5867,23.08,679.1
CAMBRIDGE QUARTERLY,0008-199X,9.43,519.09
CAMERA OBSCURA,0270-5346,26.82,760.71
CANADIAN JOURNAL OF FILM STUDIES-REVUE CANADIENNE D ETUDES CINEMATOGRAPHIQUES,0847-5911,5.89,505.9
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE,0008-4131,9.65,520.25
CANADIAN JOURNAL OF PHILOSOPHY,0045-5091,35.78,1036.01
CANADIAN LITERATURE,0008-4360,2.47,500.67
CANADIAN POETRY,0704-5646,0,500
CANADIAN REVIEW OF AMERICAN STUDIES,0007-7720,18.86,608.09
CANADIAN THEATRE REVIEW,0315-0836,78.16,4280.79
CARAVELLE-CAHIERS DU MONDE HISPANIQUE ET LUSO-BRESILIEN,1147-6753,1.54,500.21
CATHOLIC BIBLICAL QUARTERLY,0008-7912,4.01,502.26
CATHOLIC HISTORICAL REVIEW,0008-8080,2.68,500.82
CEA CRITIC,0007-8069,0,500
CENTRAL ASIATIC JOURNAL,0008-9192,0,500
CENTRAL EUROPE,1479-0963,10.02,522.23
CERAMICS-ART AND PERCEPTION,1035-1841,3.63,501.76
CERAMICS-TECHNICAL,1324-4175,1.95,500.37
CESKA LITERATURA,0009-0468,23.48,687
CHANGE OVER TIME-AN INTERNATIONAL JOURNAL OF CONSERVATION AND THE BUILT ENVIRONMENT,2153-053X,13.37,545.77
CHASQUI-REVISTA DE LITERATURA LATINOAMERICANA,0145-8973,10.72,526.36
CHAUCER REVIEW,0009-2002,70.4,3411.43
CHICAGO REVIEW,0009-3696,100,7500
CHILDRENS LITERATURE IN EDUCATION,0045-6713,52.14,1874.39
CHINESE STUDIES IN HISTORY,0009-4633,17.03,583.78
CHRISTIAN BIOETHICS,1380-3603,92.66,6285.12
CHURCH HISTORY,0009-6407,8.32,513.98
CINEASTE,0009-7004,5.13,504.16
CINEFORUM,0009-7039,0,500
CINEMA JOURNAL,0009-7101,42.1,1304.87
CINEMAS D AMERIQUE LATINE,1267-4397,0.66,500.03
CITHARA-ESSAYS IN THE JUDEO-CHRISTIAN TRADITION,0009-7527,3.15,501.24
CIVIL WAR HISTORY,0009-8078,19.83,622.55
CLA JOURNAL-COLLEGE LANGUAGE ASSOCIATION,0007-8549,0,500
CLASSICAL ANTIQUITY,0278-6656,100,7500
CLASSICAL BULLETIN,0009-8337,0,500
CLASSICAL JOURNAL,0009-8353,0.83,500.04
CLASSICAL PHILOLOGY,0009-837X,66.8,3052.73
CLASSICAL QUARTERLY,0009-8388,78.15,4279.66
CLASSICAL RECEPTIONS JOURNAL,1759-5134,100,7500
CLASSICAL REVIEW,0009-840X,4.11,502.4
CLASSICAL WORLD,0009-8418,17.73,592.61
CLCWEB-COMPARATIVE LITERATURE AND CULTURE,1481-4374,1.11,500.09
CLIO-A JOURNAL OF LITERATURE HISTORY AND THE PHILOSOPHY OF HISTORY,0884-2043,4.54,503.08
CO-HERENCIA,1794-5887,0.99,500.07
CODESIGN-INTERNATIONAL JOURNAL OF COCREATION IN DESIGN AND THE ARTS,1571-0882,100,7500
COLLEGE COMPOSITION AND COMMUNICATION,0010-096X,100,7500
COLLEGE ENGLISH,0010-0994,79.27,4416.37
COLLEGE LITERATURE,0093-3139,23.64,690.3
COLLOQUIA GERMANICA,0010-1338,0,500
COLONIAL LATIN AMERICAN HISTORICAL REVIEW-SECOND SERIES,1063-5769,0,500
COLONIAL LATIN AMERICAN REVIEW,1060-9164,29.86,840.94
COLOQUIO-LETRAS,0010-1451,3.18,501.26
COMITATUS-A JOURNAL OF MEDIEVAL AND RENAISSANCE STUDIES,0069-6412,1.83,500.32
COMMON KNOWLEDGE,0961-754X,21.08,642.88
COMMUNIO VIATORUM,0010-3713,2.9,501
COMPARATIVE CRITICAL STUDIES,1744-1854,16.51,577.52
COMPARATIVE DRAMA,0010-4078,16.44,576.75
COMPARATIVE LITERATURE,0010-4124,23.39,685.17
COMPARATIVE LITERATURE STUDIES,0010-4132,23.04,678.29
COMPTES RENDUS DES SEANCES DE L ACADEMIE DES INSCRIPTIONS & BELLES-LETTRES,0065-0536,4.01,502.25
CONCENTRIC-LITERARY AND CULTURAL STUDIES,1729-6897,0,500
CONFIGURATIONS,1063-1801,9.98,522.02
CONFLUENCIA-REVISTA HISPANICA DE CULTURA Y LITERATURA,0888-6091,3.6,501.72
CONFRONTATION,0010-5716,0,500
CONNAISSANCE DES ARTS,0293-9274,0,500
CONRADIANA,0010-6356,5.76,505.58
CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES,1350-5033,1.18,500.11
CONSTRUCTIVIST FOUNDATIONS,1782-348X,38.5,1143.67
CONTEMPORANEA,1127-3070,4.57,503.13
CONTEMPORARY BRITISH HISTORY,1361-9462,46.9,1554.49
CONTEMPORARY BUDDHISM,1463-9947,100,7500
CONTEMPORARY CHINESE THOUGHT,1097-1467,9.3,518.46
CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,1740-9292,100,7500
CONTEMPORARY LITERATURE,0010-7484,26.46,752.05
CONTEMPORARY MUSIC REVIEW,0749-4467,17.06,584.19
CONTEMPORARY PRAGMATISM,1572-3429,21.65,652.61
CONTEMPORARY THEATRE REVIEW,1048-6801,46.35,1524.01
CONTEMPORARY WOMENS WRITING,1754-1476,14.54,556.4
CONTINENTAL PHILOSOPHY REVIEW,1387-2842,29.58,832.97
CONVIVIUM,0010-8235,0,500
COSTUME-THE JOURNAL OF THE COSTUME SOCIETY,0590-8876,3.88,502.08
CR-THE NEW CENTENNIAL REVIEW,1532-687X,25.18,722.8
CRITICA D ARTE,0011-1511,0,500
CRITICA HISPANICA,0278-7261,3.48,501.58
CRITICA LETTERARIA,0390-0142,7.32,510.14
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA,0011-1503,10.93,527.67
CRITICAL QUARTERLY,0011-1562,49.53,1708.57
CRITICISM-A QUARTERLY FOR LITERATURE AND THE ARTS,0011-1589,33.7,961.38
CRITIQUE,0011-1600,2.76,500.89
CRITIQUE-STUDIES IN CONTEMPORARY FICTION,0011-1619,23.89,695.35
CROATIAN JOURNAL OF PHILOSOPHY,1333-1108,15.18,562.88
CUADERNOS HISPANOAMERICANOS,0011-250X,4.31,502.7
CULTURA-INTERNATIONAL JOURNAL OF PHILOSOPHY OF CULTURE AND AXIOLOGY,1584-1057,10.44,524.65
CULTURAL & SOCIAL HISTORY,1478-0038,44.93,1447.42
CULTURE ET MUSEES,1766-2923,1.43,500.17
CURATOR-THE MUSEUM JOURNAL,0011-3069,0,500
DALHOUSIE REVIEW,0011-5827,9.67,520.37
DANCE CHRONICLE,0147-2526,7.05,509.22
DANCE MAGAZINE,0011-6009,0.45,500.01
DANCE RESEARCH,0264-2875,15.74,568.8
DANCE RESEARCH JOURNAL,0149-7677,22.27,663.87
DANCING TIMES,0011-605X,1.25,500.12
DAO-A JOURNAL OF COMPARATIVE PHILOSOPHY,1540-3009,94.51,6579.07
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,0300-693X,10.61,525.69
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,0376-8163,0,500
DENKMALPFLEGE,0947-031X,0.74,500.03
DESIGN AND CULTURE,1754-7075,33.54,955.94
DESIGN ISSUES,0747-9360,100,7500
DESIGN JOURNAL,1460-6925,63.41,2741.06
DEUTSCHE SPRACHE,0340-9341,2.04,500.42
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,0012-0936,38.93,1161.84
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,0012-1045,9.41,519
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,0300-7162,17.55,590.34
DIALECTICA,0012-2017,52.8,1917.83
DIALOG-A JOURNAL OF THEOLOGY,0012-2033,5.48,504.92
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW,0012-2173,5.8,505.66
DIASPORAS-HISTOIRE ET SOCIETES,1637-5823,0.7,500.03
DICKENS QUARTERLY,0742-5473,14.42,555.24
DICKENSIAN,0012-2440,8.95,516.76
DIGITAL CREATIVITY,1462-6268,85.7,5259.26
DIGITAL SCHOLARSHIP IN THE HUMANITIES,2055-7671,0,500
DIOGENES,0392-1921,13.12,543.64
DISEGNARE IDEE IMMAGINI-IDEAS IMAGES,1123-9247,1.74,500.28
DIX-NEUF,1478-7318,17.18,585.69
DIX-SEPTIEME SIECLE,0012-4273,1.56,500.21
DOWN BEAT,0012-5768,0.21,500
DRESS-THE JOURNAL OF THE COSTUME SOCIETY OF AMERICA,0361-2112,6.7,508.12
DU,0012-6837,0.56,500.02
EARLY AMERICAN LITERATURE,0012-8163,83,4893.92
EARLY MEDIEVAL CHINA,1529-9104,42.83,1340.36
EARLY MEDIEVAL EUROPE,0963-9462,38.31,1136.07
EARLY MODERN WOMEN-AN INTERDISCIPLINARY JOURNAL,1933-0065,6.57,507.75
EARLY MUSIC,0306-1078,2.29,500.56
EARLY MUSIC HISTORY,0261-1279,23.62,689.77
EARLY POPULAR VISUAL CULTURE,1746-0654,12.86,541.55
EAST EUROPEAN JEWISH AFFAIRS,1350-1674,14.95,560.53
EASTERN BUDDHIST,0012-8708,0,500
ECCLESIASTICAL LAW JOURNAL,0956-618X,27.89,787.56
ECUMENICAL REVIEW,0013-0796,5.84,505.76
EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,1133-6137,0,500
EIGHTEENTH CENTURY-THEORY AND INTERPRETATION,0193-5380,4.55,503.1
EIGHTEENTH-CENTURY FICTION,0840-6286,2.82,500.94
EIGHTEENTH-CENTURY LIFE,0098-2601,10.19,523.19
EIGHTEENTH-CENTURY MUSIC,1478-5706,3.47,501.57
EIGHTEENTH-CENTURY STUDIES,0013-2586,6.82,508.5
EIGSE-A JOURNAL OF IRISH STUDIES,0013-2608,0,500
EIKASMOS-QUADERNI BOLOGNESI DI FILOLOGIA CLASSICA,1121-8819,11.05,528.39
EIRE-IRELAND,0013-2683,6.11,506.46
ELH,0013-8304,55.76,2125.43
EMERITA,0013-6662,5.72,505.48
EMILY DICKINSON JOURNAL,1059-6879,91.09,6042.91
ENGLISH,0013-8215,4.97,503.86
ENGLISH LANGUAGE NOTES,0013-8282,20.5,633.15
ENGLISH LITERARY RENAISSANCE,0013-8312,100,7500
ENGLISH LITERATURE IN TRANSITION 1880-1920,0013-8339,21.95,657.93
ENGLISH STUDIES,0013-838X,18.87,608.25
ENGLISH STUDIES IN AFRICA,0013-8398,23.18,681.12
ENGLISH STUDIES IN CANADA,0317-0802,15.2,563.02
ENVIRONMENTAL ARCHAEOLOGY,1461-4103,38.87,1159.29
EPHEMERIDES THEOLOGICAE LOVANIENSES,0013-9513,2.54,500.72
EPISTEME-A JOURNAL OF INDIVIDUAL AND SOCIAL EPISTEMOLOGY,1742-3600,89.69,5832.88
EPISTEMOLOGIA,0392-9760,1.21,500.11
ERKENNTNIS,0165-0106,98.02,7158.9
ESPRIT,0014-0759,14.43,555.35
ESPRIT CREATEUR,0014-0767,50.21,1750.47
ESQ-A JOURNAL OF THE AMERICAN RENAISSANCE,0093-8297,41.43,1273.51
ESSAYS & STUDIES,0071-1357,0,500
ESSAYS IN CRITICISM,0014-0856,10.15,523
ESTETIKA-THE CENTRAL EUROPEAN JOURNAL OF AESTHETICS,0014-1291,21.86,656.34
ESTONIAN JOURNAL OF ARCHAEOLOGY,1406-2933,13.01,542.74
ESTRENO-CUADERNOS DEL TEATRO ESPANOL CONTEMPORANEO,0097-8663,18.25,599.55
ESTUDIOS ATACAMENOS,0718-1043,0,500
ESTUDOS IBERO-AMERICANOS,0101-4064,46.13,1511.75
ETHICAL THEORY AND MORAL PRACTICE,1386-2820,40.21,1217.74
ETHNOLOGIA SCANDINAVICA,0348-9698,2.35,500.59
ETHNOMUSICOLOGY,0014-1836,21.99,658.78
ETHNOMUSICOLOGY FORUM,1741-1912,10.59,525.57
ETUDES ANGLAISES,0014-195X,2.59,500.76
ETUDES CLASSIQUES,0014-200X,0.39,500.01
ETUDES FRANCAISES,0014-2085,12.42,538.04
ETUDES GERMANIQUES,0014-2115,3.83,502.01
ETUDES LITTERAIRES,0014-214X,21.3,646.5
ETUDES PHILOSOPHIQUES,0014-2166,0.99,500.07
ETUDES THEOLOGIQUES ET RELIGIEUSES,0014-2239,0.92,500.06
EUPHORION-ZEITSCHRIFT FUR LITERATURGESCHICHTE,0014-2328,3.94,502.15
EUPHROSYNE-REVISTA DE FILOLOGIA CLASSICA,0870-0133,0,500
EUROPE-REVUE LITTERAIRE MENSUELLE,0014-2751,3.59,501.71
EUROPEAN JOURNAL OF ARCHAEOLOGY,1461-9571,9.7,520.51
EUROPEAN JOURNAL OF JEWISH STUDIES,1025-9996,24.64,710.97
EUROPEAN JOURNAL OF PHILOSOPHY,0966-8373,35.96,1042.87
EUROPEAN JOURNAL OF SCANDINAVIAN STUDIES,2191-9399,21.65,652.63
EUROPEAN LEGACY-TOWARD NEW PARADIGMS,1084-8770,2.19,500.5
